City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cabo san lucas,22.8909,-109.9124,32.01,54,80,0.45,MX,1699991945
1,lionel town,17.8101,-77.2406,32.94,68,99,6.62,JM,1699992026
2,blackmans bay,-43.0167,147.3167,9.29,70,58,1.37,AU,1699992026
3,isabela,6.7085,121.9711,26.11,86,59,0.61,PH,1699992026
4,matoury,4.8483,-52.3317,29.98,70,20,4.63,GF,1699992027
5,thompson,55.7435,-97.8558,0.09,93,100,6.17,CA,1699991961
6,georgetown,5.4112,100.3354,26.68,92,20,1.54,MY,1699992008
7,albany,42.6001,-73.9662,8.23,64,92,4.47,US,1699991744
8,port-aux-francais,-49.35,70.2167,2.98,75,93,11.72,TF,1699992029
9,tiksi,71.6872,128.8694,-14.14,89,100,4.74,RU,1699992029
10,coruripe,-10.1256,-36.1756,26.77,75,14,7.21,BR,1699992029
11,hermanus,-34.4187,19.2345,18.17,77,100,5.42,ZA,1699992031
12,broken hill,-31.95,141.4333,16.31,48,86,4.51,AU,1699991954
13,griffith,41.5284,-87.4237,17.75,27,0,5.66,US,1699992034
14,qaqortoq,60.7167,-46.0333,-4.61,85,91,1.59,GL,1699992037
15,sitka,57.0531,-135.33,4.84,74,100,7.73,US,1699992039
16,bamboo flat,11.7,92.7167,25.05,94,75,1.03,IN,1699992040
17,north battleford,52.7834,-108.2847,4.11,60,0,7.72,CA,1699992041
18,kimbe,-5.5502,150.1429,22.97,84,97,1.37,PG,1699992041
19,palmer,42.1584,-72.3287,9.02,59,75,5.66,US,1699992007
20,ushuaia,-54.8,-68.3,8.79,49,75,2.24,AR,1699991833
21,geraldton,-28.7667,114.6,20.23,77,100,3.6,AU,1699992041
22,stiens,53.2623,5.7577,10.99,90,20,3.6,NL,1699992042
23,charlottetown,46.2352,-63.1267,3.29,81,100,4.12,CA,1699992042
24,st. john's,47.5649,-52.7093,0.54,80,100,4.12,CA,1699991750
25,adamstown,-25.066,-130.1015,23.02,85,100,9.53,PN,1699992043
26,edinburgh of the seven seas,-37.0676,-12.3116,13.66,71,100,7.62,SH,1699992043
27,defiance,41.3334,-84.45,15.04,35,0,3.09,US,1699991746
28,lebu,-37.6167,-73.65,10.73,66,1,9.41,CL,1699992043
29,sechura,-5.5569,-80.8222,19.75,91,49,7.82,PE,1699992044
30,yellowknife,62.456,-114.3525,-5.33,99,100,3.6,CA,1699992044
31,bethel,41.3712,-73.414,11.46,55,14,1.79,US,1699992044
32,aransas pass,27.9095,-97.15,23.87,76,0,4.12,US,1699992045
33,minas de marcona,-15.2119,-75.1103,24.73,46,0,3.65,PE,1699992045
34,vernon,50.2581,-119.2691,8.12,59,97,1.03,CA,1699992045
35,mumbwa,-14.9783,27.0619,24.22,41,43,3.04,ZM,1699992045
36,waitangi,-43.9535,-176.5597,16.01,87,90,3.58,NZ,1699992046
37,crane,31.3974,-102.3501,17.05,62,97,2.79,US,1699992046
38,merizo village,13.2658,144.6691,28.1,83,70,11.04,GU,1699992046
39,petropavlovsk-kamchatsky,53.0452,158.6483,-6.42,71,0,5.81,RU,1699992047
40,sinop,41.7711,34.8709,10.59,59,5,2.17,TR,1699992047
41,hawaiian paradise park,19.5933,-154.9731,23.28,97,100,5.66,US,1699991800
42,avare,-23.0986,-48.9258,33.51,28,29,5.84,BR,1699992047
43,tolanaro,-25.0319,46.9987,23.04,60,75,2.06,MG,1699992047
44,ribeira grande,38.5167,-28.7,21.22,94,75,6.69,PT,1699992048
45,grytviken,-54.2811,-36.5092,4.67,88,68,1.72,GS,1699992048
46,mawu,29.5923,107.3139,10.31,85,100,0.65,CN,1699992048
47,fabens,31.5023,-106.1586,18.65,53,100,1.32,US,1699992048
48,bilibino,68.0546,166.4372,-24.51,100,98,0.88,RU,1699992049
49,letlhakeng,-24.0944,25.0298,20.25,60,0,7.86,BW,1699992050
50,yangquan,37.8575,113.5633,3.95,37,41,1.85,CN,1699992050
51,lycksele,64.5954,18.6735,-15.93,99,98,1.64,SE,1699992050
52,bambanglipuro,-7.95,110.2833,24.76,95,84,0.45,ID,1699992051
53,boa viagem,-5.1275,-39.7322,35.41,25,58,3.16,BR,1699992051
54,greymouth,-42.4667,171.2,13.45,86,92,3.98,NZ,1699992023
55,kununurra,-15.7667,128.7333,25.99,89,100,2.57,AU,1699991880
56,daru,-9.0763,143.2092,23.83,82,49,2.1,PG,1699992051
57,anamur,36.0751,32.8369,17.11,69,5,4.43,TR,1699992052
58,chibougamau,49.9168,-74.3659,-1.21,93,100,3.09,CA,1699992052
59,sisimiut,66.9395,-53.6735,-9.49,85,20,3.08,GL,1699992052
60,iskateley,67.6803,53.1512,-7.77,96,100,4.02,RU,1699992052
61,riosucio,5.4216,-75.7032,22.78,82,92,1.08,CO,1699992053
62,olonkinbyen,70.9221,-8.7187,-2.09,70,88,2.17,SJ,1699992053
63,puerto natales,-51.7236,-72.4875,7.25,57,75,13.38,CL,1699992053
64,alvesta,56.8993,14.5556,4.15,85,100,5.66,SE,1699992053
65,hithadhoo,-0.6,73.0833,27.31,81,76,4.44,MV,1699992054
66,port mathurin,-19.6833,63.4167,25.79,80,100,6.39,MU,1699992054
67,las vegas,36.175,-115.1372,22.91,25,0,3.09,US,1699991965
68,tangalle,6.024,80.7911,24.33,96,100,1.45,LK,1699992054
69,hirara,24.8,125.2833,22.15,64,75,5.14,JP,1699992054
70,timbuktu,16.7735,-3.0074,27.19,12,0,4.33,ML,1699992055
71,el matama,16.7095,33.3565,33.04,22,95,4.24,SD,1699992055
72,nar'yan-mar,67.6713,53.087,-7.72,96,100,4.02,RU,1699992055
73,chonchi,-42.6128,-73.8092,12.29,68,98,3.83,CL,1699992056
74,i-n-salah,27.1935,2.4607,23.94,25,0,6.13,DZ,1699992056
75,touros,-5.1989,-35.4608,27.04,83,6,8.3,BR,1699992056
76,arkhangel'sk,64.5401,40.5433,-3.26,91,100,3.6,RU,1699992057
77,tsiombe,-25.3,45.4833,18.49,74,51,2.52,MG,1699992057
78,guerrero negro,27.9769,-114.0611,22.25,50,100,2.82,MX,1699992057
79,udachny,66.4167,112.4,-10.86,85,100,6.12,RU,1699992057
80,raymondville,26.4815,-97.7831,24.59,54,9,5.03,US,1699992059
81,sao joao da barra,-21.6403,-41.0511,31.05,64,19,6.02,BR,1699992060
82,newman,37.3138,-121.0208,23.46,27,0,3.05,US,1699992007
83,mount isa,-20.7333,139.5,18.87,72,0,0.0,AU,1699992060
84,kodiak,57.79,-152.4072,3.47,74,81,3.66,US,1699992061
85,ilulissat,69.2167,-51.1,-3.99,68,75,6.17,GL,1699992061
86,jamestown,42.097,-79.2353,10.85,54,0,1.79,US,1699991951
87,badger,64.8,-147.5333,-3.86,94,100,1.03,US,1699992062
88,cidreira,-30.1811,-50.2056,21.51,87,100,2.03,BR,1699992062
89,mejit,10.2753,170.8646,27.98,78,100,8.62,MH,1699992063
90,aasiaat,68.7098,-52.8699,-10.69,90,51,3.73,GL,1699992063
91,tsaratanana,-16.7833,47.65,26.38,64,39,0.87,MG,1699992063
92,hobyo,5.3505,48.5268,27.57,80,83,2.92,SO,1699992064
93,ardud,47.6333,22.8833,11.05,76,75,4.63,RO,1699992064
94,merowe,18.4833,31.8167,30.07,34,45,7.93,SD,1699992064
95,uturoa,-16.7333,-151.4333,26.73,82,96,6.79,PF,1699992065
96,kailua-kona,19.6406,-155.9956,27.93,68,40,1.54,US,1699991856
97,east london,-33.0153,27.9116,16.56,73,20,6.16,ZA,1699992065
98,truckee,39.328,-120.1833,15.01,27,20,4.63,US,1699991838
99,port elizabeth,-33.918,25.5701,18.16,80,0,8.23,ZA,1699992066
100,saipan,15.1355,145.701,28.23,70,14,9.79,MP,1699992066
101,new norfolk,-42.7826,147.0587,9.95,77,71,0.98,AU,1699992067
102,alice springs,-23.7,133.8833,21.75,37,75,0.0,AU,1699992067
103,utrik,11.2278,169.8474,27.87,83,99,9.59,MH,1699992068
104,iqaluit,63.7506,-68.5145,-8.15,73,75,3.09,CA,1699992068
105,kaltan,53.5347,87.2457,1.16,98,100,4.05,RU,1699992068
106,nova vicosa,-17.8919,-39.3719,26.64,70,4,7.28,BR,1699992008
107,hamilton,39.1834,-84.5333,17.55,30,50,0.89,US,1699992069
108,eenhana,-17.4667,16.3333,27.78,39,76,1.11,NA,1699992069
109,flying fish cove,-10.4217,105.6791,23.82,94,100,3.09,CX,1699992069
110,papatowai,-46.5619,169.4708,9.52,58,10,4.73,NZ,1699992069
111,margaret river,-33.95,115.0667,16.45,75,74,7.23,AU,1699992070
112,saraktash,51.7866,51.7866,4.57,63,100,2.08,RU,1699992070
113,zeya,53.75,127.2667,-7.51,71,9,0.95,RU,1699992070
114,shaowu,27.3409,117.4831,9.45,95,9,0.46,CN,1699992070
115,rongelap,11.1635,166.8941,27.92,82,100,9.36,MH,1699992071
116,tazacorte,28.629,-17.9293,21.54,83,20,4.12,ES,1699992071
117,dakhla,23.6848,-15.958,22.57,62,100,5.84,EH,1699992071
118,yazman,29.1212,71.7446,19.91,32,3,2.56,PK,1699992072
119,lihue,21.9789,-159.3672,26.58,63,100,5.28,US,1699992072
120,puerto ayora,-0.7393,-90.3518,27.98,96,56,2.68,EC,1699992072
121,sihanoukville,10.6093,103.5296,25.97,94,40,2.06,KH,1699992072
122,falam,22.9167,93.6833,13.39,96,100,0.42,MM,1699992073
123,avarua,-21.2078,-159.775,21.03,83,100,1.54,CK,1699992073
124,nakasongola,1.3089,32.4564,18.96,93,97,0.65,UG,1699992073
125,shakawe,-18.3667,21.85,26.34,47,56,3.32,BW,1699992073
126,dryden,49.7833,-92.7503,9.16,53,0,6.17,CA,1699992073
127,alvaraes,-3.2208,-64.8042,33.93,26,19,2.35,BR,1699992074
128,kolondieba,11.0882,-6.8926,28.55,16,6,1.69,ML,1699992074
129,errachidia,31.9275,-4.4285,22.03,21,0,0.0,MA,1699992074
130,saint-francois,46.4154,3.9054,12.69,82,20,5.14,FR,1699992074
131,chinde,26.8418,88.0763,13.26,82,100,2.45,NP,1699992075
132,lahat,-3.8,103.5333,22.89,98,99,0.6,ID,1699992075
133,kingston,17.997,-76.7936,32.53,68,20,11.83,JM,1699991981
134,port alfred,-33.5906,26.891,17.32,79,27,2.68,ZA,1699992076
135,bouake,7.6895,-5.0218,25.06,73,20,2.06,CI,1699992076
136,haiku-pauwela,20.9219,-156.3051,26.39,60,98,10.03,US,1699992076
137,rio rancho,35.2334,-106.6645,17.02,51,0,3.13,US,1699992077
138,polyarnyy,69.1989,33.4478,-9.91,98,95,2.79,RU,1699992077
139,ituango,7.1712,-75.764,21.62,95,100,0.96,CO,1699992077
140,veinticinco de mayo,-35.4323,-60.1727,26.66,33,76,1.34,AR,1699992077
141,kupino,54.3663,77.2981,2.96,80,100,6.96,RU,1699992078
142,hasaki,35.7333,140.8333,10.16,80,91,4.95,JP,1699992078
143,lazaro cardenas,17.9583,-102.2,30.37,67,6,3.81,MX,1699992078
144,punta arenas,-53.15,-70.9167,7.06,70,40,5.66,CL,1699992018
145,caraballeda,10.6112,-66.8522,33.04,66,20,3.09,VE,1699992078
146,bredasdorp,-34.5322,20.0403,16.0,88,73,2.48,ZA,1699992079
147,invercargill,-46.4,168.35,10.57,66,17,4.02,NZ,1699992079
148,fada,9.5667,8.3,24.82,33,86,1.82,NG,1699992079
149,namibe,-15.1961,12.1522,22.54,81,98,2.55,AO,1699992080
150,paita,-5.0892,-81.1144,19.74,90,48,8.53,PE,1699992080
151,puerto san jose,13.9256,-90.8244,30.93,68,97,2.74,GT,1699992080
152,dudinka,69.4058,86.1778,-17.39,92,100,8.61,RU,1699992081
153,ugoofaaru,5.6667,73.0,27.62,74,11,0.48,MV,1699992081
154,ilheus,-14.7889,-39.0494,27.9,69,0,5.14,BR,1699992045
155,san miguel el alto,21.0167,-102.35,24.19,36,0,2.76,MX,1699992081
156,quelimane,-17.8786,36.8883,24.97,88,75,6.26,MZ,1699992082
157,amga,60.8953,131.9608,-18.27,98,100,1.35,RU,1699992082
158,stanley,54.868,-1.6985,8.77,95,75,0.51,GB,1699992082
159,vila franca do campo,37.7167,-25.4333,20.23,99,100,4.81,PT,1699992083
160,"laikit, laikit ii (dimembe)",1.4792,124.9735,22.47,100,40,1.03,ID,1699992083
161,rasshevatskaya,45.5748,41.035,5.74,82,100,3.11,RU,1699992084
162,saint-philippe,-21.3585,55.7679,23.77,92,100,2.02,RE,1699992085
163,beyneu,45.3167,55.2,12.32,34,7,6.13,KZ,1699992085
164,jinghong,21.991,100.7341,20.81,97,99,0.9,CN,1699992086
165,anadyr,64.75,177.4833,-21.72,77,0,8.0,RU,1699992086
166,labrador city,52.9463,-66.9114,-8.05,79,40,1.03,CA,1699992086
167,santiago de cao,-7.9589,-79.2392,21.07,78,0,5.14,PE,1699992078
168,hadibu,12.65,54.0333,27.21,80,79,5.61,YE,1699992087
169,suva,-18.1416,178.4415,25.71,94,75,10.29,FJ,1699992088
170,ancud,-41.8697,-73.8203,9.34,61,100,5.35,CL,1699991829
171,san matias,-16.3667,-58.4,33.66,36,97,2.86,BO,1699992089
172,longyearbyen,78.2186,15.6401,-11.09,67,75,3.09,SJ,1699992089
173,ust-tsilma,65.441,52.1498,-1.88,97,100,2.68,RU,1699992090
174,miguel ahumada,30.6167,-106.5167,18.22,48,78,0.3,MX,1699992090
175,akureyri,65.6835,-18.0878,2.96,65,20,3.6,IS,1699992091
176,pacific grove,36.6177,-121.9166,21.61,58,0,2.57,US,1699992035
177,mount gambier,-37.8333,140.7667,7.45,96,98,0.55,AU,1699991948
178,college,64.8569,-147.8028,-3.82,98,99,0.95,US,1699992092
179,wewak,-3.5534,143.6268,24.9,92,84,2.24,PG,1699992092
180,vilyuchinsk,52.9306,158.4028,-5.6,84,100,3.39,RU,1699992093
181,nikolayevsk-on-amure,53.1406,140.73,-15.01,97,61,0.47,RU,1699992093
182,prince rupert,54.3161,-130.3201,7.83,66,75,9.77,CA,1699991891
183,hammerfest,70.6634,23.6821,1.25,86,75,5.66,NO,1699992094
184,the pinery,39.4553,-104.7344,20.22,10,20,0.0,US,1699991910
185,abashiri,44.0213,144.2697,-0.26,81,33,3.57,JP,1699991997
186,kerikeri,-35.2268,173.9474,15.51,94,18,0.89,NZ,1699992096
187,wailua homesteads,22.0669,-159.378,26.24,73,100,2.68,US,1699992096
188,sarkand,45.41,79.9186,4.31,45,10,2.04,KZ,1699992096
189,iwanai,42.9744,140.5089,3.05,74,99,1.53,JP,1699992097
190,saynshand,44.8824,110.1163,-7.42,76,85,2.77,MN,1699992098
191,nova sintra,14.8667,-24.7167,23.6,71,62,8.99,CV,1699992099
192,tromso,69.6496,18.957,-0.99,74,75,4.12,NO,1699992104
193,nuuk,64.1835,-51.7216,-6.71,77,100,3.8,GL,1699992105
194,guercif,34.2257,-3.3536,21.14,27,96,1.12,MA,1699992105
195,colonia,50.9333,6.95,11.13,84,100,9.77,DE,1699992000
196,okha,53.5739,142.9478,-6.33,86,99,2.77,RU,1699992105
